name,tier,url,image_url,dimensions,handle_drop,ideal_for,colour,made_of,features,design_notes
GUCCI MARMONT MINI HALF MOON FLAP BAG,CLASSIC,https://zerocollective.ca/bag/gucci-marmont-mini-half-moon-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd9992b2134aa90493041a_Gucci%20Half%20Moon%20Cream%20%5B1%5D.webp,"SMALL (8"" x 5.5"" x 2"" )","20""","CARDHOLDER, PHONE, AND KEYS",Soft off-white calfskin with gold hardware,Calfskin leather,"Mini size, quilted chevron stitch, GG hardware, half-moon flap, crossbody strap","The Marmont Mini Half Moon Bag pairs smooth off-white calfskin with a gently curved flap for a sculptural, feminine feel. Its chevron quilting is precisely stitched to hold shape while enhancing the softness of the leather. The antiqued gold GG hardware is hand-attached for a refined finish and subtle vintage appeal. Perfect for women who love minimal lines with iconic details. Wear it crossbody to add elegance to casual or polished outfits."
YSL CALFSKIN LE 5 A 7 SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-le-5-a-7-shoulder-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6723b7686d150652d4acaa7f_Saint%20Laurent%20Black%20Hobo%20Bag%20%5B1%5D.webp,"SMALL (10"" x 6"" x 2.5"")","7"" - 9""","CARDHOLDER, PHONE, AND KEYS","Black, gold hardware",Calfskin leather,"Short-strap shoulder bag, signature YSL closure","Smooth and timeless, the black Le 5 à 7 offers a polished short-strap silhouette with sculptural gold detailing. Semi-aniline calfskin is tanned for a natural finish, stitched cleanly, and topped with an oversized YSL monogram attached by hand. Named for Paris’s golden hour, the 5 à 7 reflects Saint Laurent’s embrace of effortless, transitional style. A sophisticated option for women who gravitate toward iconic Parisian minimalism. Pair it with sleek tailoring or silk layers for quiet elegance."
CHANEL VINTAGE LAMBSKIN QUILTED PARIS FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-paris-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f54d3b4675b4ebdfb15a3_Chanel%20Diamond%20Quilted%20Black%20%5B1%5D.webp,"SMALL (9.5"" x 6"" x 2.5"")","9.5"" - 16""","WALLET, PHONE, AND KEYS",Deep black lambskin with gold-tone hardware,Lambskin leather,"Single flap, diamond quilting, chain strap, CC turn-lock","The Vintage Paris Flap Bag embodies Chanel heritage through lustrous black lambskin, diamond quilting, and the unmistakeable CC turn-lock. The single-flap design offers a lighter, streamlined feel while keeping full iconic structure. Gold hardware adds a timeless finish, reinforcing the bag’s classic appeal. An ideal piece for collectors who appreciate traditional Chanel craftsmanship at its most refined."
CELINE CANVAS VERTICAL CABAS TOTE,CLASSIC,https://zerocollective.ca/bag/celine-canvas-vertical-cabas-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd9f537df05f21fa18d3ee_Celine%20Long%20Tote%20%5B1%5D.webp,"LARGE (11"" x 12.5"" x 3"")","5"" - 20""","LAPTOP, NOTEBOOK, WALLET, SUNGLASSES, PHONE, AND KEYS","Brown/black monogram with white logo, black handles",Coated canvas with leather trim,"Tall structured tote, top handles, logo print",
CHANEL DENIM CHOCOLATE BAR FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-denim-chocolate-bar-single-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6702d83dd9d88180bccaaafd_Chanel%20Washed%20Denim%20Single%20Flap%20Shoulder%20Bag%20%5B1%5D.webp,"MEDIUM (10"" x 6"" x 2.5"")","9.5"" - 18""","WALLET, PHONE, SUNGLASSES, AND KEYS",Blue denim with ivory grid and silver hardware,"Denim, leather","Medium flap, “chocolate bar” stitched grid, chain/leather strap, CC turn-lock","The Denim Chocolate Bar Flap Bag brings playful energy to Chanel’s classic flap shape, using quilted grid stitching reminiscent of a chocolate bar. Soft blue denim and ivory thread create texture and dimension, adding a laid-back twist to the house’s structured heritage. Lightweight and distinctive, it’s perfect for collectors who want variety and personality. Wear it casually with cottons and neutrals."
CHANEL CAVIAR QUILTED SMALL FILIGREE VANITY CASE,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-filigree-small-vanity-case,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd9e1f1045ec8a1229620a_Chanel%20Filigree%20Vanity%20Red%20%5B1%5D.webp,"SMALL (6.5"" x 5"" x 2"")","21""","CARDHOLDER, PHONE, AND KEYS",Red with gold hardware,Caviar leather,"Small vanity case, top handle, quilted texture, filigree CC logo, zip closure, chain strap",
PRADA CANVAS LOGO DRILL EMBROIDERED TOTE,CLASSIC,https://zerocollective.ca/bag/prada-canvas-logo-drill-embroidered-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672f221c02e847b17f167dee_Prada%20Canvas%20Logo%20Drill%20Tote%20%5B1%5D.webp,"LARGE (15"" x 11"" x 5"")","4"" - 15""","PHONE, WALLET, BOOK, POUCH, AND KEYS",Powder blue with white & navy accents,Embroidered canvas drill,"Open tote, top handles, floral embroidery, bold Prada logo",
YSL CROCODILE EMBOSSED SUNSET CHAIN WALLET,CLASSIC,https://zerocollective.ca/bag/ysl-crocodile-embossed-sunset-chain-wallet,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744063466290x511610926758334660/YSL%20Sunset%20Snakeskin%20Red%20%5B1%5D.jpg","X-SMALL (7.5"" x 6"" x 2"")","23""","CARDHOLDER, PHONE, AND KEYS",Bright red with silver hardware,Embossed leather,"Wallet on chain, crocodile-embossed, YSL logo, top handle",
CHANEL PATENT QUILTED DOUBLE SIDED FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-patent-quilted-double-sided-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1744754529181x613514476879414300/Chanel%20Patent%20Double%20Sided%20Flap%20Bag%20%5B1%5D.jpg","MEDIUM (10"" x 6"" x 3"")","4""","WALLET, PHONE, AND KEYS",Black with gold hardware,Patent leather,"Double-sided flap, glossy finish, shoulder strap, CC lock","Glossy and striking, the Patent Double-Sided Flap carries a sleek black shine with gold heritage touches. Patent leather gives a modern mirror finish, while the double-flap construction offers both versatility and storage. Chanel’s double-flap lineage reflects decades of iconic design and thoughtful interior structure. A standout choice for collectors who love unique variations on classic Chanel. Let it shine against a simple monochrome outfit for maximum effect."
CHANEL LAMBSKIN QUILTED BOY WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-lambskin-boy-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672e7cf41a215de4e3b64572_Chanel%20Boy%20Wallet%20Orange%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","23""","CARDHOLDER, PHONE, AND KEYS",The Boy Wallet on Chain in vibrant orange lambskin offers a bold pop of colour with the edgy hardware signature to the Boy line. Diamond quilting and dark ruthenium accents create a striking contrast that feels modern and confident. Its compact structure ensures practicality without losing impact. Perfect for collectors who love standout small leather goods. Style it with muted outfits for a colour-forward statement.,Lambskin leather,"Boy WOC, diamond quilting, Boy-style clasp, chain strap",
CHANEL PATENT QUILTED BOY WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-patent-quilted-boy-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f532fa2bc732eda96786f_Chanel%20Rose%20Lilac%20Boy%20Patent%20Wallet%20on%20Chain%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","23""","CARDHOLDER, PHONE, AND KEYS",Metallic rose with silver-tone hardware,Patent leather,"Boy Wallet on Chain, squared quilting, click-lock closure, chain shoulder strap","The Patent Boy Wallet on Chain adds futuristic shine to one of Chanel’s most iconic shapes. Squared quilting and a metallic rose finish bring energy and edge, while the Boy push-lock and chain strap ground the design in the bag’s industrial heritage. Compact yet striking, it moves effortlessly from day to evening. A standout pick for someone who loves modern glamour."
CHANEL LAMBSKIN QUILTED CUBA FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-cuba-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67e48a45efbf952ddc7315aa_Chanel%20Quilted%20Cuba%20Black%20%5B1%5D.webp,"SMALL (8.5"" x 5"" x 2"")","22.5""","CARDHOLDER, PHONE, AND KEYS","The Cuba Flap Bag is a joyful twist on the classic black quilted flap, adorned with vibrant multicolour edging in coral, yellow, and green. The playful contrast highlights the silhouette while maintaining Chanel’s sophisticated quilted structure. Silver hardware and a bold CC logo complete the look with modern brightness. This piece is perfect for collectors who like their classics with personality. Pair it with neutral outfits to let the colourful piping pop.",Lambskin leather,,
YSL SUNSET MEDIUM BAG,CLASSIC,https://zerocollective.ca/bag/ysl-sunset-medium-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1745943029658x616560962668206500/Saint%20Laurent%20Green%20Medium%20Sunset%20Shoulder%20Bag%20%5B1%5D.jpg","SMALL (8"" x 6"" x 2.5"")","11"" - 20""","WALLET, PHONE, AND KEYS","Deep green and structured, the Sunset Medium Bag has a sleek, modern presence with clean lines and gold hardware. Smooth leather is crafted into a boxy silhouette with a classic chain strap for polished versatility. The Sunset reflects Saint Laurent’s contemporary design language rooted in strong shapes and couture precision. A refined choice for someone who appreciates bold colour with timeless structure. Style it with black, cream, or metallic accents for a balanced, elevated look.",Leather,"Structured medium flap, YSL signature, chain shoulder strap",
CHANEL VINTAGE PATENT CHEVRON ENVELOPE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-patent-chevron-envelope-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb59e1fe16b1bc0fdd348_Chanel%20Patent%20Chevron%20Black%20%5B1%5D.webp,"SMALL (10"" x 6"" x 3"")","9.5"" - 17""","WALLET, PHONE, SUNGLASSES, AND KEYS",Glossy black patent with chevron stitching and gold-tone hardware,Patent leather,"Envelope silhouette, chevron pattern, chain strap, CC turn-lock","The Vintage Patent Chevron Envelope Flap captures attention with glossy black patent leather shaped into a crisp chevron pattern. Gold-tone hardware provides contrast and warmth, highlighting the Art Deco-inspired structure. The envelope silhouette feels refined and architectural, making it a striking addition to any wardrobe. Perfect for collectors who love statement textures with vintage edge."
CHANEL CAVIAR BUSINESS AFFINITY FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-business-affinity-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/679915e2c06b744c9324df16_Chanel%20Business%20Affinity%20Red%20%5B1%5D.webp,"SMALL (8"" x 6"" x 3"")","22""","CARDHOLDER, PHONE, AND KEYS",Red with gold hardware,Caviar leather,"Structured top handle, front flap, CC logo, back pocket",
YSL CALFSKIN LE 5 A 7 SHOULDER BAG,CLASSIC,https://zerocollective.ca/bag/ysl-calfskin-5-le-7-shoulder-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa9f8859143a86c59ee8e_YSL%20Matcha%20Shoulder%20Bag%20%5B1%5D.webp,"SMALL (10"" x 6"" x 2.5"")","7"" - 9""","CARDHOLDER, PHONE, AND KEYS","Sage green, gold hardware",Calfskin leather,"Short-strap shoulder bag, structured profile, gold Cassandre closure","Calm and modern, the Le 5 à 7 in sage green has a sleek, softly squared silhouette that feels effortlessly elevated. Vegetable-tanned calf leather is crafted with smooth seams and topped with a sculptural gold Cassandre closure. Named for the French “after-work” hour, the 5 à 7 celebrates relaxed elegance within Saint Laurent’s heritage. A beautiful option for women who appreciate understated pieces with poetic detail. Style it with flowing layers or tonal sets for serene sophistication."
CHANEL LAMBSKIN QUILTED MINI GRAPHIC FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-mini-graphic-flap-bag,"https://d796a67a92d679609c665ac417b8bf0e.cdn.bubble.io/cdn-cgi/image/w=512,h=640,f=auto,dpr=1,fit=contain/f1745941496533x125124108945381170/Chanel%20Mini%20Graphic%20Flap%20Bag%20%5B1%5D.jpg","X-SMALL (6"" x 5"" x 2"")","25""","CARDHOLDER, PHONE, AND KEYS",Black and white with gold hardware,Lambskin leather,"Mini rectangular flap, graphic contrast trim, chain strap, CC-lock","Bold and graphic, the Mini Graphic Flap plays with sharp contrast in black quilting framed by bright white trim. Soft lambskin and gold hardware elevate its petite scale, giving it a polished yet playful feel. Chanel’s graphic detailing reflects the maison’s love of modern reinterpretations within classic silhouettes. A great choice for collectors who appreciate statement-making contrast with iconic heritage. Wear it with monochrome outfits for a striking, cohesive look."
CHANEL LAMBSKIN COCO BOY SMALL FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-coco-boy-small-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67882939ad6168d5d71ab5fd_Chanel%20Lambskin%20Coco%20Boy%20Red%20%5B1%5D.webp,"SMALL (8"" x 5"" x 2"")","12"" - 23""","CARDHOLDER, PHONE, AND KEYS",Red with ruthenium hardware,Lambskin leather,"Coco Boy flap, diamond and chevron quilting mix, oversize CC clasp, chunky chain","The Coco Boy Small Flap Bag blends elements of Chanel’s Classic and Boy lines, showcasing a mix of diamond and chevron quilting for a truly unique finish. The oversized CC clasp and bold chain hardware highlight its expressive personality. Rich red lambskin adds vibrancy, while the structured silhouette keeps everything feeling refined. This is a standout choice for collectors who appreciate rare designs with strong character. Pair it with denim or monochromatic outfits for a balanced look."
CHANEL VINTAGE LAMBSKIN QUILTED PARIS DOUBLE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-paris-double-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb5fa310512a84713cb32_Chanel%20Paris%20Duotone%20Black%20%5B1%5D.webp,"MEDIUM (10"" x 6.5"" x 2.5"")","9.5"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Classic black with gold-tone hardware,Lambskin leather,"Double flap construction, diamond quilting, chain strap, CC turn-lock",
GOYARD GOYARDINE BELLECHASSE PM,CLASSIC,https://zerocollective.ca/bag/goyard-goyardine-bellechasse-pm-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f5b16cd27cef58079b70d_Goyardine%20Bellechasse%20Red%20%5B1%5D.webp,"LARGE (14"" x 10.5"" x 5.5"")","8.5""","LAPTOP, POUCH, PHONE, WALLET, AND KEYS","This Bellechasse PM in rich burgundy Goyardine brings a refined, geometric silhouette to everyday dressing. Its canvas is created using Goyard’s historic pigment recipes and built up in fine strokes to achieve depth, contrast, and durability. Leather trims and linen lining complete the heritage construction rooted in French craftsmanship. Perfect for women who appreciate artisanal design grounded in centuries-old tradition. Pair it with minimalist neutrals or crisp tailoring to highlight its colour and pattern.",Goyardine coated canvas with leather,"Petite modèle, geometric structure, logo paintwork",
CHANEL SHEEPSKIN FRONT CHAIN STITCHED LARGE FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-front-chain-stitched-large-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa3ad78fa9462a650d70c7_Chanel%20Front%20Chain%20Black%20%5B1%5D.webp,"SMALL (10"" x 7.5"" x 2"")","23""","WALLET, PHONE, AND KEYS",Very light taupe/sheepskin beige with champagne gold hardware and silver chain stitching,Sheepskin with chain embroidery,"Oversized flap, front chain-stitched detail, CC turn-lock, chain strap",
CHANEL CAVIAR QUILTED CLASSIC WALLET ON CHAIN,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa6bfb90c638bfb0763e5_Chanel%20Quilted%20WOC%20Red%20%5B1%5D%20(1).webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",,,,
CHANEL VINTAGE LAMBSKIN HALF MOON FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-half-moon-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f52991e690c8c84e5622a_Chanel%20Navy%20Half%20Moon%20Chain%20Shoulder%20Bag%20%5B1%5D.webp,"SMALL (9.5"" x 6"" x 2"")","15""","CARDHOLDER, PHONE, AND KEYS",Rich navy blue with gold-tone hardware,Lambskin leather,"Half-moon silhouette, curved quilting, chain strap, CC turn-lock","The Vintage Half Moon Flap Bag charms with its rounded silhouette and gently curved quilting. Deep navy lambskin gives the design understated richness, while gold hardware adds soft gleam. Both sculptural and refined, it stands out as a rarer Chanel shape with elegant archival character. Pair it with navy, cream, or cool-toned outfits for harmonious styling."
CHANEL CAVIAR TIMELESS CC WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-caviar-timeless-cc-wallet-on-chain-2,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/6702d80c80befd839205b9ad_Chanel%20Red%20Caviar%20Timeless%20Wallet%20%5B1%5D.webp,"X-SMALL (7.5"" x 5"" x 2"")","24""","CARDHOLDER, PHONE, AND KEYS",Red with silver hardware,Caviar leather,"Wallet on chain, chain strap, large embossed CC logo",
CHANEL LAMBSKIN CHEVRON MINI FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-chevron-mini-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67ab974ba5440c22eb950aa6_Chanel%20Mini%20Chevron%20Mint%20%5B1%5D.webp,"X-SMALL (7"" x 5"" x 3"")","23""","CARDHOLDER, PHONE, AND KEYS","The Chevron Mini Flap in mint green brings a fresh, uplifting tone to Chanel’s most iconic small silhouette. Its chevron stitching adds dimension and polish, while buttery lambskin keeps the bag soft and luxurious. Gold hardware provides a warm contrast, making this piece both subtle and statement-making. It’s the perfect option for collectors who want a pop of colour that still feels refined. Wear it crossbody with minimalist outfits to let the mint tone glow.",Lambskin leather,"Mini flap, chevron quilting, chain/leather strap, CC turn-lock clasp",
DIOR FLORAL SMALL BOOK TOTE,CLASSIC,https://zerocollective.ca/bag/dior-floral-small-book-tote,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb1a4c96b533a7f277ba7_Dior%20Painting%20Book%20Tote%20%5B1%5D.webp,"MEDIUM (11"" x 8.5"" x 4"")","5""","WALLET, PHONE, BOOK, SUNGLASSES, AND KEYS","The Dior Floral Small Book Tote showcases exquisitely woven multicolour jacquard, crafted using digital loom programming to achieve complex depth in every flower. Each colour shift and petal gradient is created thread by thread, then assembled and aligned entirely by hand. The result is a tote that feels both artistic and structured, celebrating Dior’s precision craftsmanship in a modern, compact format. Naturally eye-catching, it suits women who love expressive textures and refined detailing. Carry it with soft knits, linen sets, or minimalist tailoring to let the pattern truly shine.",Jacquard fabric,"Small Book Tote, all-over floral jacquard, signature logo stripe, top handles",
LOUIS VUITTON MONOGRAM EMPREINTE GIANT ONTHEGO MM TOTE,DELUXE,https://zerocollective.ca/bag/louis-vuitton-monogram-empreinte-giant-onthego-mm,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dc80e8a5d0b0ed5e6b0890_Bolsa%20OnTheGo%20MM%201.webp,"LARGE (13.5"" x 10.5"" x 5"")","9.5""","LAPTOP, POUCH, PHONE, WALLET, AND KEYS","Navy blue with cream giant monogram, gold-tone hardware",Grained Monogram Empreinte leather,"MM size, oversized embossed Monogram, double handle set",
CHANEL LAMBSKIN PYRAMID FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-pyramid-chevron-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67044fc243df65e58245a16c_Chanel%20Beige%20Lambskin%20Chevron%20Flap%20Bag%20%5B1%5D.webp,"SMALL (9.5"" x 6"" x 2"")","13"" - 24""","WALLET, PHONE, AND KEYS",Camel with antique gold hardware,Lambskin leather,"Flap, chevron quilting, pyramid envelope flap, square CC lock, chain strap","The Pyramid Flap Bag brings sculptural elegance to Chanel’s lineup with its angular envelope shape and crisp chevron quilting. Camel lambskin adds warmth and richness, beautifully contrasted by antique gold hardware. The square CC lock serves as a striking centrepiece, giving the bag an architectural confidence that feels both modern and timeless. It’s perfect for someone who appreciates bold structure wrapped in refined softness. Pair it with sharp tailoring or minimalist knits to let the silhouette shine."
CHANEL VINTAGE LAMBSKIN QUILTED BORDER FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-border-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f521f7723a8a54ca38d0c_Chanel%20Cream%20Vintage%20Small%20Single%20Flap%20Bag%20%5B1%5D.webp,"SMALL (9.5"" x 6"" x 2.5"")","9"" - 16""","WALLET, PHONE, SUNGLASSES, AND KEYS",Off-white/cream with gold-tone hardware,Lambskin leather,"Border flap structure, diamond quilting, chain strap, CC turn-lock","This Vintage Border Flap Bag features creamy lambskin accented with subtle border detailing, adding definition to the classic diamond-quilted body. Gold hardware elevates the soft palette, giving the bag a feminine, luminous quality. Elegant and timeless, it offers a gentler take on Chanel’s signature structure. Wear it with tonal outfits for a soft, cohesive look."
PRADA SAFFIANO PANIER TOP HANDLE BAG,DELUXE,https://zerocollective.ca/bag/prada-saffiano-panier-top-handle-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa2161ff79371e52f88fe6_Saffiano%20Prada%20Panier%20White%201.webp,"SMALL (7"" x 6.5"" x 4"")","22""","CARDHOLDER, PHONE, AND KEYS","Ivory, gold hardware",Saffiano leather,"Structured top-handle, snap tab closure, detachable strap, logo charm","Elegant and structured, the ivory Panier top-handle bag has a soft, luminous presence with crisp lines. Saffiano leather is crosshatch-embossed, stiffened, and edge-inked, finished with a hand-painted handle and gold medallion charm. Prada introduced Saffiano leather under Mario Prada, making it one of the house’s most enduring signatures. A refined choice for women who appreciate timeless craftsmanship with quiet polish. Style it with tonal neutrals for an elevated daytime mood."
CHANEL CAVIAR CHEVRON MEDIUM BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-chevron-medium-boy-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f4d6c1c6681bfd3d6ccde_Chanel%20Burgundy%20Medium%20Chevron%20Boy%20Bag%20%5B1%5D.webp,"MEDIUM (10"" x 6"" x 2.5"" )","11"" - 18""","WALLET, PHONE, SUNGLASSES, AND KEYS",Black with silver hardware,Caviar leather,"Medium Boy shape, chevron quilting, chunky chain, Boy clasp",
CHANEL VINTAGE LAMBSKIN QUILTED SMALL FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-vintage-lambskin-quilted-small-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aa6688f0e9f024bf98dbc6_Chanel%20Quilted%20Keychain%20Black%20%5B1%5D.webp,"SMALL (10"" x 6.5"" x 3"")","17""","WALLET, PHONE, AND KEYS",Matte black lambskin with gold-tone hardware,Lambskin leather,"Petite flap, classic diamond quilting, chain strap, CC turn-lock",
CHANEL NATURAL BEAUTY SPLIT POCKET MEDIUM FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-split-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67acb53a23586fdd763730c0_Chanel%20Stitch%20Quilted%20Pink%20%5B1%5D.webp,"MEDIUM (12"" x 8"" x 3"")","12"" - 19""","WALLET, PHONE, SUNGLASSES, AND KEYS",Light pink-beige,Lambskin leather,"Gold-tone hardware, split front pocket, CC clasp, chain strap",
CHANEL LAMBSKIN WILD STITCH SMALL BOY BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-wild-stitch-small-boy-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa4ff0a2d2eb47cf5ef15_Chanel%20Blue%20Stitch%20Boy%20Navy%20%5B1%5D.webp,"SMALL (8"" x 5"" x 3"")","12"" - 21.5""","CARDHOLDER, PHONE, AND KEYS",Navy,Lambskin leather,"Mixed gold and ruthenium hardware, wild stitch detail, chain strap","The Wild Stitch Small Boy Bag offers a modern twist on the beloved Boy silhouette, highlighted by dramatic contrast stitching. Navy lambskin pairs beautifully with a mix of gold and ruthenium metals, giving it depth and a subtle two-tone effect. Strong lines and chunky hardware reinforce the Boy’s bold attitude, while the stitch detailing adds artisanal intrigue. A striking option for collectors who love texture with structure. Style it with denim, leather, or tailored jackets."
CHANEL CAVIAR QUILTED MINI CLASSIC FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-caviar-quilted-mini-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67aaa5a37d32b9251e1c1c62_Chanel%20Quilted%20Dark%20Hardware%20White%20%5B1%5D.webp,"X-SMALL (7.5"" x 4"" x 2.5"")","22.5""","CARDHOLDER, PHONE, AND KEYS",White with silver hardware,Caviar leather,"Mini flap, diamond quilting, chain strap, CC turn-lock",
CHANEL VINTAGE LAMBSKIN QUILTED DIANA FLAP BAG,DELUXE,https://zerocollective.ca/bag/chanel-lambskin-quilted-diana-flap-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/674f484a609cfdee18f1ff5a_Chanel%20Beige%20Diana%20Leater%20Shoulder%20Bag%20%5B1%5D.webp,"SMALL (9.5"" x 6.5"" x 2.5"")","20""","WALLET, PHONE, SUNGLASSES, AND KEYS",Beige with gold-tone hardware,Lambskin leather,"Diana flap silhouette, diamond quilting, chain strap, CC turn-lock","The Diana Flap brings together soft beige lambskin, rounded edges, and luminous gold hardware for a look that feels both nostalgic and refined. Its gently curved silhouette pays tribute to the style famously linked to Princess Diana, whose influence helped elevate the design into an enduring icon. Diamond quilting keeps the structure elegant and crisp, while the chain strap adds timeless versatility. This piece suits someone who gravitates toward classic shapes with a touch of femininity. Pair it with neutral layers or understated tailoring for effortless grace."
FENDI EMBOSSED FF MINI MON TRESOR BUCKET BAG,CLASSIC,https://zerocollective.ca/bag/fendi-embossed-ff-mini-mon-tresor-bucket-bag,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/67dd9b0c029ce9b6c2c5bff7_Fendi%20Basket%20Red%20%5B1%5D.webp,"X-SMALL (4.5"" x 7"" x 4"")","22""","CARDHOLDER, PHONE, AND KEYS","The Mini Mon Tresor Bucket Bag is formed from Italian calfskin embossed with the FF motif using heat, pressure, and engraved metal plates. The leather is then edge-painted and hand-stitched to create its compact, sculptural bucket silhouette. Silver-tone hardware and an adjustable strap offer flexible styling while highlighting the bag’s detailed construction. It’s a great choice for women who love bold colour combined with refined technique. Carry it crossbody for hands-free ease and a playful pop of red.",Embossed leather,"Mini size, bucket silhouette, drawstring closure, top handle, crossbody strap, logo hardware",
CHANEL LAMBSKIN AIRLINE WALLET ON CHAIN,CLASSIC,https://zerocollective.ca/bag/chanel-airline-wallet-on-chain,https://cdn.prod.website-files.com/66b15d94eaa8e81fe7b27d0e/672efc16fc72525c88954f98_Chanel%20Airline%20Wallet%20Black%26Blue%26Red%20%5B1%5D.webp,"X-SMALL (9"" x 5"" x 1"")","21.5""","CARDHOLDER, PHONE, AND KEYS","Light blue, black, and red with silver hardware",Lambskin leather,"Envelope flap, geometric pattern, multi CC logo detail, chain strap",
